name;alias;ISSI;vehicle
"Convoyeur	";A EM 1-1;6922141;A EM 1
"Convoyeur	";A EM 2-1;6922117;A EM 2
"Convoyeur	";A EM 3-1;6982119;A EM 3
"Convoyeur	";A EM 4-1;6922115;A EM 4
"Convoyeur	";A INC 1;6922145;A INC
Radio feu;A INC R;2211963;A INC
Officier;CMD 1-6;2211696;CMD 1
Chauffuer;CMD 1-5A;2211981;CMD 1
Chauffeur;CMD 1-5B;2211020;CMD 1
"	ATEX radio";CMD 1-EX;2211927;CMD 1
Officier;CMD 2-6;2211597;CMD 2
Chauffuer;CMD 2-5A;2211641;CMD 2
Chauffeur;CMD 2-5B;2211693;CMD 2
"	ATEX radio";CMD 2-EX;2211015;CMD 2
Officier;CMD 3-6;2211596;CMD 3
Chauffuer;CMD 3-5A;2211521;CMD 3
Chauffeur;CMD 3-5B;2211958;CMD 3
"	ATEX radio";CMD 3-EX;2211943;CMD 3
nr6 - Chef;P EM 1-6;2211538;P EM 1
nr 5 - Chauffeur;P EM 1-5;2211497;P EM 1
nr 4;P EM 1-4;2211469;P EM 1
nr 3;P EM 1-3;2211689;P EM 1
nr 2;P EM 1-2;2211562;P EM 1
nr 1;P EM 1-1;2211996;P EM 1
"	ATEX radio";P EM 1-EX;2211944;P EM 1
nr6 - Chef;P EM 2-6;2211915;P EM 2
nr 5 - Chauffeur;P EM 2-5;2211450;P EM 2
nr 4;P EM 2-4;2211454;P EM 2
nr 3;P EM 2-3;2211491;P EM 2
nr 2;P EM 2-2;2211584;P EM 2
nr 1;P EM 2-1;2211200;P EM 2
"	ATEX radio";P EM 2-EX;2211954;P EM 2
nr6 - Chef;P EM 3-6;2211920;P EM 3
nr 5 - Chauffeur;P EM 3-5;2211169;P EM 3
nr 4;P EM 3-4;2211621;P EM 3
nr 3;P EM 3-3;2211464;P EM 3
nr 2;P EM 3-2;2211022;P EM 3
nr 1;P EM 3-1;2211629;P EM 3
"	ATEX radio";P EM 3-EX;2211930;P EM 3
"Convoyeur	";E EM 1-1;2211458;E EM 1
Chauffeur;E EM 1-5;2211452;E EM 1
"Convoyeur	";E EM 2-1;2211612;E EM 2
Chauffeur;E EM 2-5;2211567;E EM 2
"Convoyeur	";E EM 3-1;;E EM 3
